subject,sessionIndex,rep,letter,f1,f2,f3,f4,f5,f6
v.mal,2,2,a,109.0,16.0,172.0,-63.0,78.0,203.0
v.mal,2,3,period,93.0,47.0,94.0,109.0,78.0,32.0
v.mal,2,3,t,94.0,109.0,78.0,32.0,93.0,79.0
v.mal,2,3,i,78.0,32.0,93.0,79.0,62.0,125.0
v.mal,2,3,e,93.0,79.0,62.0,125.0,266.0,140.0
v.mal,2,3,five,62.0,125.0,266.0,140.0,94.0,125.0
v.mal,2,3,Shift.r,266.0,140.0,94.0,125.0,78.0,94.0
v.mal,2,3,o,94.0,125.0,78.0,94.0,156.0,-62.0
v.mal,2,3,a,78.0,94.0,156.0,-62.0,109.0,172.0
v.mal,2,4,period,78.0,79.0,109.0,109.0,94.0,16.0
v.mal,2,4,t,109.0,109.0,94.0,16.0,78.0,94.0
v.mal,2,4,i,94.0,16.0,78.0,94.0,93.0,110.0
v.mal,2,4,e,78.0,94.0,93.0,110.0,281.0,78.0
v.mal,2,4,five,93.0,110.0,281.0,78.0,78.0,125.0
v.mal,2,4,Shift.r,281.0,78.0,78.0,125.0,94.0,62.0
v.mal,2,4,o,78.0,125.0,94.0,62.0,172.0,-47.0
v.mal,2,4,a,94.0,62.0,172.0,-47.0,63.0,203.0
v.mal,2,5,period,78.0,63.0,62.0,141.0,78.0,16.0
v.mal,2,5,t,62.0,141.0,78.0,16.0,109.0,62.0
v.mal,2,5,i,78.0,16.0,109.0,62.0,63.0,141.0
v.mal,2,5,e,109.0,62.0,63.0,141.0,250.0,93.0
v.mal,2,5,five,63.0,141.0,250.0,93.0,110.0,78.0
v.mal,2,5,Shift.r,250.0,93.0,110.0,78.0,94.0,78.0
v.mal,2,5,o,110.0,78.0,94.0,78.0,203.0,-94.0
v.mal,2,5,a,94.0,78.0,203.0,-94.0,109.0,141.0
v.mal,2,6,period,79.0,140.0,78.0,78.0,63.0,62.0
v.mal,2,6,t,78.0,78.0,63.0,62.0,110.0,47.0
v.mal,2,6,i,63.0,62.0,110.0,47.0,78.0,156.0
v.mal,2,6,e,110.0,47.0,78.0,156.0,234.0,110.0
v.mal,2,6,five,78.0,156.0,234.0,110.0,94.0,93.0
v.mal,2,6,Shift.r,234.0,110.0,94.0,93.0,94.0,78.0
v.mal,2,6,o,94.0,93.0,94.0,78.0,172.0,-78.0
v.mal,2,6,a,94.0,78.0,172.0,-78.0,109.0,157.0
v.mal,2,7,period,78.0,125.0,78.0,78.0,78.0,63.0
v.mal,2,7,t,78.0,78.0,78.0,63.0,109.0,16.0
v.mal,2,7,i,78.0,63.0,109.0,16.0,62.0,157.0
v.mal,2,7,e,109.0,16.0,62.0,157.0,234.0,78.0
v.mal,2,7,five,62.0,157.0,234.0,78.0,78.0,125.0
v.mal,2,7,Shift.r,234.0,78.0,78.0,125.0,110.0,46.0
v.mal,2,7,o,78.0,125.0,110.0,46.0,188.0,-94.0
v.mal,2,7,a,110.0,46.0,188.0,-94.0,125.0,156.0
v.mal,2,8,period,94.0,31.0,94.0,94.0,62.0,79.0
v.mal,2,8,t,94.0,94.0,62.0,79.0,187.0,31.0
v.mal,2,8,i,62.0,79.0,187.0,31.0,78.0,250.0
v.mal,2,8,e,187.0,31.0,78.0,250.0,219.0,141.0
v.mal,2,8,five,78.0,250.0,219.0,141.0,94.0,156.0
v.mal,2,8,Shift.r,219.0,141.0,94.0,156.0,94.0,62.0
v.mal,2,8,o,94.0,156.0,94.0,62.0,172.0,-94.0
v.mal,2,8,a,94.0,62.0,172.0,-94.0,94.0,156.0
v.mal,2,9,period,109.0,156.0,79.0,125.0,62.0,47.0
v.mal,2,9,t,79.0,125.0,62.0,47.0,94.0,47.0
v.mal,2,9,i,62.0,47.0,94.0,47.0,78.0,125.0
v.mal,2,9,e,94.0,47.0,78.0,125.0,250.0,93.0
v.mal,2,9,five,78.0,125.0,250.0,93.0,79.0,93.0
v.mal,2,9,Shift.r,250.0,93.0,79.0,93.0,94.0,78.0
v.mal,2,9,o,79.0,93.0,94.0,78.0,156.0,-78.0
v.mal,2,9,a,94.0,78.0,156.0,-78.0,110.0,156.0
v.mal,2,10,period,79.0,140.0,63.0,78.0,62.0,94.0
v.mal,2,10,t,63.0,78.0,62.0,94.0,141.0,78.0
v.mal,2,10,i,62.0,94.0,141.0,78.0,78.0,141.0
v.mal,2,10,e,141.0,78.0,78.0,141.0,250.0,109.0
v.mal,2,10,five,78.0,141.0,250.0,109.0,94.0,109.0
v.mal,2,10,Shift.r,250.0,109.0,94.0,109.0,94.0,78.0
v.mal,2,10,o,94.0,109.0,94.0,78.0,172.0,-78.0
v.mal,2,10,a,94.0,78.0,172.0,-78.0,93.0,188.0
v.mal,2,11,period,78.0,125.0,62.0,78.0,63.0,94.0
v.mal,2,11,t,62.0,78.0,63.0,94.0,125.0,15.0
v.mal,2,11,i,63.0,94.0,125.0,15.0,63.0,140.0
v.mal,2,11,e,125.0,15.0,63.0,140.0,266.0,78.0
v.mal,2,11,five,63.0,140.0,266.0,78.0,78.0,94.0
v.mal,2,11,Shift.r,266.0,78.0,78.0,94.0,109.0,47.0
v.mal,2,11,o,78.0,94.0,109.0,47.0,172.0,-78.0
v.mal,2,11,a,109.0,47.0,172.0,-78.0,94.0,156.0
v.mal,2,12,period,78.0,141.0,78.0,125.0,62.0,94.0
v.mal,2,12,t,78.0,125.0,62.0,94.0,94.0,78.0
v.mal,2,12,i,62.0,94.0,94.0,78.0,62.0,94.0
v.mal,2,12,e,94.0,78.0,62.0,94.0,266.0,78.0
v.mal,2,12,five,62.0,94.0,266.0,78.0,78.0,141.0
v.mal,2,12,Shift.r,266.0,78.0,78.0,141.0,78.0,78.0
v.mal,2,12,o,78.0,141.0,78.0,78.0,156.0,-78.0
v.mal,2,12,a,78.0,78.0,156.0,-78.0,109.0,157.0
v.mal,2,13,period,94.0,78.0,62.0,94.0,63.0,78.0
